judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Vincent M Dinolfo,Supreme Court Justice,,2021-01-01,2028-12-31,Monroe,7th Judicial District,2021,,,,,,
Craig D Hannah,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Erie,Appellate Division 4th Department,2022,,,,,,ADT/04/08
Lisa Lewis,Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,
John J Andrews,Supreme Court Justice,,2024-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2024,,,,,,
Frank Caruso,Supreme Court Justice,,2022-01-01,2026-12-31,Niagara,8th Judicial District,2006,,,,,,
C Stephen Hackeling,Supreme Court Justice,,2023-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2023,,,,,,
Marina C Mundy,Supreme Court Justice,,2019-01-01,2032-12-31,Richmond,Richmond Supreme,2019,,,,,,
Elizabeth M FoxMcDonough,Supreme Court Justice,,2022-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,
Rose N Fontaine,Court of Claims Judge,,2024-12-30,2027-01-01,Albany,Court of Claims,2024,,,,,,
Steven A Pilewski,Supreme Court Justice,,2026-01-01,2036-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,
Christi J Acker,Supreme Court Justice,,2018-01-01,2031-12-31,Dutchess,9th Judicial District,2018,,,,,,
Wayne M Ozzi,,SUP CT JUSTICE,,,Richmond,10th Judicial District - Nassau,2010,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Alexander R Renzi,Supreme Court Justice,,2024-01-01,2028-12-31,Monroe,7th Judicial District,2010,,,,,,
Mark A Montour,Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Erie,Appellate Division 4th Department,2014,,,,,,ADP/04/04
Lori S Sattler,Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,
Margaret L Clancy,,,,,Bronx,Bronx Supreme Criminal,2000,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Joseph R Conway,Supreme Court Justice,"SUP CT JUS, DST 10 AT",2021-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2021,,,,,,ATM/02/0910/03
Scott J DelConte,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Oswego,Appellate Division 4th Department,2019,,,,,,ADT/04/07
Cheree A Buggs,Supreme Court Justice,"SUP CT JUS, DST 11 AT",2017-01-01,2030-12-31,Queens,Queens Supreme,2017,,,,,,ATM/02/0211/04
Saul Stein,Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,
Gary M Carlton,,,2024-01-01,2024-12-31,Nassau,10th Judicial District - Nassau,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
Deborah Poulos,,,2019-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
