judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Raymond Rodriguez,Criminal Court Judge NYC,ADM JGE ACT SUP CT JS,2020-01-01,2029-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2013,,,,,,
Dagmar PlazaGonzalez,Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,Kings,Kings Supreme Criminal,2026,,,,,,
Jennifer A Tubridy,Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2023,,,,,,
Karen B Turner,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe,Monroe County Court,2020,,,,,,
Jenelle L Faso,City Court Judge,,2022-01-01,2031-12-31,Niagara,Niagara Falls City Court,2022,,,,,,
Bryan J Maggs,Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Chemung,Chemung County Family Court,2025,,,,,,
Vincent J MessinaJr,Surrogate Court Judge,,2023-01-01,2032-12-31,Suffolk,Suffolk County Surrogate's Ct,2023,,,,,,
Alicea EllorasAlly,Family Court Judge NYC,ACT SUP CT JUS,2019-03-03,2029-03-02,New York,New York County Family Court,2015,NYC,Family,,,,
Victoria Gumbs,Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2020,,,,,,
Michael G Dayian,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Montgomery,Montgomery County Family Court,2022,,,,,,
Michael W Smrtic,County Surrogate Court Judge,,2021-01-01,2030-12-31,Fulton,Fulton County Supreme Ct(M-B),2021,,,,,,
Eric P Press,City Court Judge,,2025-12-19,2026-12-18,Westchester,White Plains City Court,2003,,,,,,
Michael J Gaffey,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2019,,,,,,
Sharon M LoVallo,Family Court Judge,,2022-01-01,2031-12-31,Erie,Erie County Family Court,2003,,,,,,
Sharon G Matthie,Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Family Ct,2025,,,,,,
A L Beth O'Connor,Family Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Cortland,Cortland County Supr Ct(M-B),2025,,,,,,
Helene F Gugerty,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2013,,,,,,
Donald Leo,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
Christopher E Hoefenkrieg,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau,Nassau County Court,2021,,,,,,
James M Nicholson,City Court Judge,,2025-01-01,2034-12-31,Oswego,Fulton City Court,2020,,,,,,
Geoffrey N Prime,District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2023,,,,,,
Luke A Brown,City Court Judge,,2021-12-20,2027-12-19,Niagara,North Tonawanda City Court,2021,,,,,,
Michael T Ansaldi,County Judge,,2025-01-03,2034-12-31,Monroe,Monroe County Supreme Court,2025,,,,,,
Chidi A Eze,Civil Court Judge NYC,,2026-01-01,2036-12-31,Kings,"NYC Civil Court, Kings County",2026,,,,,,
Joseph B Girardi,County Judge,ACT SUP CT JUS,2024-01-01,2029-12-31,Nassau,Nassau County Court,2015,,,,,,
David I Levine,District Court Judge,,2022-01-01,2027-12-31,Nassau,"Nassau District Ct, 1st Dist",2021,,,,,,
Eric Sachs,District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2019,,,,,,
Brenda L Rivera,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2015,,,,,,
Wanda Y Negron,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx,Bronx County Sup Ct Civil Term,2021,,,,,,
Fiordaliza A Rodriguez,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2015,,,,,,
Deborah S Kearns,Surrogate Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Surrogate's Ct,2025,,,,,,
Lydia S Antoncic,Family Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Family Court,2024,,,,,,
Tatiana N Coffinger,County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Hamilton,Hamilton County Court (M-B),2020,,,,,,
Efstathia G Kyriakopoulos,Family Court Judge,,2025-01-01,2034-12-31,St. Lawrence,St. Lawrence County Court,2025,,,,,,
Kristine M DemoVazquez,Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Monroe,Monroe County Family Court,2024,,,,,,
Maria T Gonzalez,Civil Court Judge NYC,,2023-01-01,2031-12-31,Queens,Queens Supreme Criminal Term,2023,,,,,,
JulietteNoor Haji,Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,
Susan M Capeci,County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Westchester,Westchester County Court,2008,9,Problem Solving Courts,,,,
John F Zoll,Criminal Court Judge NYC,ACT SUP CT JUS,2012-12-01,2032-11-30,Queens,Queens Supreme Criminal Term,2010,,,,,,
Nichelle A Johnson,City Court Judge,,2017-01-01,2026-12-31,Westchester,Mount Vernon City Court,2016,,,,,,
F Christopher Giruzzi,City Court Judge,,2026-01-01,2035-12-31,Oneida,Utica City Court,2016,,,,,,
Denise M Dominguez,Civil Court Judge NYC,,2026-01-01,2034-12-31,New York,New York County Supreme Court,2014,,,,,,
Matthew J Doran,County Judge,,2017-01-01,2026-12-31,Onondaga,Onondaga County Court,2017,5,Superior Criminal Courts,,,,
Traci L DiMezza,City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Fulton,Gloversville City Court,2013,4,Town & Villiage,,,,
Laura M Paley,Family Court Judge NYC,,2024-12-11,2035-03-04,Kings,Kings Supreme Criminal,2024,,,,,,
Matthew G Hughes,Family Court Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Suffolk,Suffolk County Family Court,2016,,,,,,
Shirin I Zarabi,Criminal Court Judge NYC,,2025-06-04,2028-12-31,New York,New York County Criminal Court,2025,,,,,,
Erik Pinsonnault,Family Court Judge NYC,,2025-11-14,2030-06-30,Bronx,Bronx County Family Court,2025,,,,,,
Edit Shkreli,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,
Emily R Rubin,Family Court Judge,,2026-01-01,2035-12-31,Westchester,Westchester County Family Ct,2026,,,,,,
Mary M Tarantelli,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Chemung,Chemung County Family Court,2015,6,Family,,,,
Dean E LilacJr,City Court Judge,,2026-01-01,2035-12-31,Erie,Tonawanda City Court,2014,,,,,,
Raynette N Brewster,Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,
Anika C Mohammed,City Court Judge,,2022-01-01,2031-12-31,Orange,Newburgh City Court,2021,,,,,,
Michael L Katz,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,"NYC Civil Ct, New York County",2011,,,,,,
Chauncey J Watches,County Family Court Judge,,2019-01-01,2027-12-31,Steuben,Steuben County Supreme Ct(M-B),2019,,,,,,
Jaimee L Nelsen,Family Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Family Court,2025,,,,,,
Frank B RevoirJr,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Chenango,Chenango County Family Ct(M-B),2013,,,,,,
Evelyn Gong,Civil Court Judge NYC,,2024-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2024,,,,,,
Sheridan JackBrowne,Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,
Linda Poust Lopez,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2027-12-31,Bronx,NYC Criminal Ct - Bronx County,2011,,,,,,
David E Coddington,City Court Judge,,2023-01-01,2028-12-31,Steuben,Hornell City Court,2014,,,,,,
Ayesha K Brantley,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau,Nassau County Family Court,2017,,,,,,
John L Hubbard,County Surrogate Family Court Judge,,2023-01-01,2032-12-31,Delaware,Delaware County Court (M-B),2023,,,,,,
Acea M Mosey,Surrogate Court Judge,,2018-01-01,2027-12-31,Erie,Erie County Surrogate's Court,2018,,,,,,
Julie A Campbell,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Cortland,Cortland County Court (M-B),2003,6,Superior Criminal Courts,,,,
Jeffrey Rosenblueth,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Bronx,Bronx County Supreme Court,2017,,,,,,
Ronald T Walsh,City Court Judge,,2025-01-01,2029-12-31,Cortland,Cortland City Court,2024,,,,,,
Catherine Rizzo,County Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau,Nassau County Family Court,2019,,,,,,
Eric M Galarneau,City Court Judge,,2026-01-01,2031-12-31,Albany,Cohoes City Court,2020,,,,,,
Todd D Dexter,City Court Judge,,2026-01-01,2035-12-31,Madison,Oneida City Court,2026,,,,,,
Keith M Bruno,County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton,Clinton County Court (M-B),2017,,,,,,
Toko Serita,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Queens,"NYC Criminal Ct, Queens Cnty",2005,,,,,,
Christopher J Coschignano,Family Court Judge,,2025-01-01,2033-12-31,Nassau,Nassau County Family Court,2021,,,,,,
Ricja D RiceGhyll,Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2021,,,,,,
Betsey JeanJacques,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Kings,Kings County Supreme Court,2024,,,,,,
Lisa A Daley,Family Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2025,,,,,,
Colin F O'Donnell,County Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Nassau,Nassau County Court,2012,,,,,,
Steven Hornstein,Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2026-12-31,Bronx,Bronx County Supreme Court,2013,,,,,,
Jay L Weiner,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2029-12-31,Kings,Kings Supreme Criminal,2019,,,,,,
Donald X Clavin,County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Nassau,Nassau County Court,2026,,,,,,
Kevin M Carter,Family Court Judge,,2023-01-01,2028-12-31,Erie,Erie County Family Court,2002,,,,,,
Christopher T Maier,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Rensselaer,Troy City Court,2005,,,,,,
Julie A Cecile,Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Onondaga,Onondaga County Family Court,2013,5,Family,,,,
Deidra R Moore,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,
Keith J Cornell,Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rockland,Rockland County Surrogate's Ct,2018,,,,,,
Sara R Litman,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2022,,,,,,
Sheralyn Pulver,County Judge,,2025-01-01,2030-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,
Peter J SavageIII,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Erie,Buffalo City Court,2019,,,,,,
Michael J Pinto,Civil Court Judge NYC,,2024-01-01,2033-12-31,Richmond,"NYC Civil Ct, Richmond County",2024,,,,,,
Evan M Zuckerman,District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2023,,,,,,
Joy M Watson,Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Nassau,Nassau County Family Court,2013,,,,,,
Julie M Hahn,County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Monroe,Monroe County Supreme Court,2022,,,,,,
Christopher J Ferratella,City Court Judge,ACT CNTY JGE,2025-01-01,2034-12-31,Steuben,Corning City Court,2025,,,,,,
Gigi N Parris,Family Court Judge NYC,ACT SUP CT JUS,2022-12-16,2032-09-04,Queens,Queens County Family Court,2021,Queens,Family,,,,
Jillian E Faison,Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2025,,,,,,
Carol E Malcolm,Civil Court Judge NYC,,2024-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2024,,,,,,
Karen L Moroney,District Court Judge,ACT CNTY JGE,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 3rd Dist",2020,,,,,,
Dawn Guglielmo,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,
Michael L Dollinger,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Monroe,Monroe County Court,2020,7,Superior Criminal Courts,,,,
Kenneth A Szyszkowski,City Court Judge,,2018-01-01,2027-12-31,Erie,Lackawanna City Court,2018,,,,,,
Jeanine R Johnson,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,
Lisa A LoCurto,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,
Michelle H Ladouceur,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,St. Lawrence,St. Lawrence County Court,2022,,,,,,
Erin M McGoey,County Judge,,2026-01-01,2035-12-31,Westchester,Westchester County Supreme Ct,2026,,,,,,
Jeffrey C Martin,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess,Dutchess County Family Court,2019,,,,,,
Edward J Hennessey,President Board of Judges,ACT CNTY JGE,2026-01-01,2031-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2018,,,,,,
Peter R Johnson,Family Court Judge,,2025-01-01,2034-12-31,Chautauqua,Chautauqua County Family Court,2025,,,,,,
William J Hart,City Court Judge,,2026-01-01,2031-12-31,Ontario,Geneva City Court,2020,,,,,,
Eileen J Goggin,Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Nassau,Nassau County Family Court,2017,,,,,,
Nicole D Morris,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe,Rochester City Court,2020,,,,,,
Keri E Savona,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Ulster,Ulster County Family Court,2015,3,Family,,,,
Carl G Falotico,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Schenectady,Schenectady City Court,2020,,,,,,
Jill Kehn,Family Court Judge,,2022-01-01,2031-12-31,Rensselaer,Rensselaer County Family Court,2015,,,,,,
Frank M Mora,City Court Judge,,2021-01-01,2030-12-31,Dutchess,Poughkeepsie City Court,2011,,,,,,
James P O'connor,Family Court Judge,,2026-01-01,2033-12-31,Suffolk,Suffolk County Supreme Court,2026,,,,,,
John Kelly,District Court Judge,ACT CNTY JGE,2026-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2001,,,,,,
William J Watson,City Court Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Niagara,Lockport City Court,2000,,,,,,
Emily P Ruben,Family Court Judge NYC,ACT SUP CT JUS,2023-12-31,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
Craig J Ortner,Criminal Court Judge NYC,,2023-12-11,2031-12-31,Bronx,NYC Criminal Ct - Bronx County,2023,,,,,,
Alecia J Mazzo,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,,,,,,
Lawrence E Ball,City Court Judge,,2021-01-01,2030-12-31,Ulster,Kingston City Court,2007,,,,,,
Lauren L Esposito,Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,"NYC Civil Ct, New York County",2024,,,,,,
MacKenzie M Stutzman,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Yates,Yates County Supreme Ct(M-B),2024,,,,,,
Rena Malik,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,
Christine A Perumal,Family Court Judge NYC,,2024-09-04,2033-12-31,Queens,Queens County Family Court,2024,,,,,,
Susan M Eagan,County Judge,,2018-01-01,2027-12-31,Erie,Erie County Court,2011,,,,,,
Teresa K Corrigan,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2013,Nassau,Superior Criminal Courts,,,,
Peter R Mcgreevy,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Suffolk,Suffolk County Court,2025,,,,,,
Andrea R Krugman,Civil Court Judge NYC,,2024-01-01,2033-12-31,New York,"NYC Civil Ct, New York County",2024,,,,,,
Abena Darkeh,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,
Michael R Nolan,County Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2025,,,,,,
Heather L Dukes,City Court Judge,,2025-01-01,2030-12-31,Rensselaer,Rensselaer City Court,2025,,,,,,
Hari K Singh,Family Court Judge NYC,,2023-02-15,2028-02-18,Bronx,Bronx County Family Court,2023,,,,,,
Gia L Morris,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Queens,Queens Supreme Criminal Term,2011,,,,,,
Sandra E Roper,Civil Court Judge NYC,,2018-01-01,2026-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,
Robert Rosenthal,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Criminal Court,2019,,,,,,
Joseph A Egitto,Family Court Judge,ACT SUP CT JUS,2024-01-01,2030-12-31,Dutchess,Dutchess County Family Court,2014,9,Family,,,,
George Panebianco,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Chautauqua,Jamestown City Court,2005,,,,,,
Matthew C Hayden,County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Schuyler,Schuyler County Court (M-B),2020,,,,,,
Joanne B Watters,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,Queens Supreme Criminal Term,2015,,,,,,
Gilbert A Taylor,Family Court Judge NYC,ACT SUP CT JUS,2022-08-31,2032-08-30,Kings,Kings Supreme Criminal,2016,Kings,Family,,,,
Thaddeus J Luke,Family Court Judge,,2021-01-01,2030-12-31,Herkimer,Herkimer County Supreme Court,2021,,,,,,
Timothy J Kirwan,City Court Judge,,2024-01-01,2033-12-31,Oswego,Oswego City Court,2023,,,,,,
Timothy P McElduffJr,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Orange,Orange County Surrogate's Ct,2020,,,,,,
Nicholas W Moyne,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,
Joshua A Glick,Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2032-12-31,Kings,Kings Supreme Criminal,2021,,,,,,
Kara A Buscaglia,Family Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Family Court,2025,,,,,,
Wayne A Humphrey,Family Court Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Court,2020,,,,,,
Janice A Robinson,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Yael T Wilkofsky,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Supreme Court,2024,,,,,,
Ryan E Cronin,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,
Natalie P Barros,Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,
James G McAuliffeJr,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Fulton,Fulton County Family Court,2019,,,,,,
Eric P Milgrim,Family Court Judge,,2024-01-01,2033-12-31,Nassau,Nassau County Family Court,2024,,,,,,
Caren L Loguercio,Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2011,Suffolk,Family,,,,
Philip W Kirschner,City Court Judge,,2017-01-01,2026-12-31,Ulster,Kingston City Court,2010,,,,,,
Melody Glover,Family Court Judge NYC,,2022-12-01,2031-11-30,Kings,Kings Supreme Criminal,2017,,,,,,
Lara Olivieri,Family Court Judge,,2026-01-01,2035-12-31,Ulster,Ulster County Family Court,2026,,,,,,
Andra Ackerman,County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany,Albany County Supreme Court,2016,3,Superior Criminal Courts,,,,
Tiffany R Perry,City Court Judge,ACT CNTY JGE,2024-01-01,2033-12-31,Erie,Buffalo City Court,2024,,,,,,
Sarah P Cooper,Family Court Judge NYC,ACT SUP CT JUS,2019-10-02,2029-10-01,Bronx,Bronx County Sup Ct Civil Term,2012,,,,,,
Monique J Holaman,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,
John I LaMancusoJr,City Court Judge,,2024-01-01,2033-12-31,Chautauqua,Jamestown City Court,2024,,,,,,
Keith D Kibler,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Wyoming,Wyoming County Family Ct(M-B),2020,8,Family,,,,
Evan S Tanenbaum,District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2024,,,,,,
Denise M Watson,Family Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Dutchess,Dutchess County Family Court,2012,,,,,,
Tricia M Ferrell,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 2nd Dist",2008,Nassau,District,,,,
Daniel P Romano,City Court Judge,,2021-01-01,2030-12-31,Westchester,Yonkers City Court,2021,,,,,,
Jacqueline CabreraFernandez,Family Court Judge NYC,,2025-12-30,2035-12-27,Kings,Kings Supreme Criminal,2025,,,,,,
Randal B Caldwell,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Oneida,Oneida County Family Court,1994,5,Family,,,,
Elizabeth Y Shamahs,Civil Court Judge NYC,,2025-01-01,2030-12-31,New York,New York County Criminal Court,2025,,,,,,
Jessica I Bourbon,Civil Court Judge NYC,,2020-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2020,,,,,,
Angela StammPhilipps,Family Court Judge,,2025-01-01,2034-12-31,Niagara,Niagara County Supreme Court,2025,,,,,,
Lauvienska Polanco,Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,
Matthew J Santamauro,Civil Court Judge NYC,,2026-01-01,2035-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2026,,,,,,
Orville Reynolds,Criminal Court Judge NYC,,2025-06-04,2030-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Rachel Roberts,City Court Judge,,2024-02-01,2030-01-31,Chautauqua,Dunkirk City Court,2018,,,,,,
Jessica A Kulpit,County Judge,,2026-01-01,2035-12-31,Erie,Erie County Court,2026,,,,,,
Anna Mikhaleva,Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx,NYC Criminal Ct - Bronx County,2024,,,,,,
Michelle I Schauer,Family Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Westchester,Westchester County Supreme Ct,2011,,,,,,
John M Kuzdale,City Court Judge,,2018-01-01,2027-12-31,Chautauqua,Dunkirk City Court,1993,,,,,,
Sophia L Trott,City Court Judge,,2025-01-01,2034-12-31,Westchester,Peekskill City Court,2025,,,,,,
John E Elliott,City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Monroe,Rochester City Court,2004,,,,,,
James F Leonick,District Court Judge,,2026-01-01,2031-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Nancy Nicotrabednar,County Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Nassau,Nassau County Court,2026,,,,,,
Robert A Smith,County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Warren,Warren County Supreme Ct(M-B),2021,,,,,,
Maritza FugaroNorton,Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,
Erin E Hart,City Court Judge,,2025-01-01,2034-12-31,Erie,Buffalo City Court,2025,,,,,,
Jessica I Flores,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2022,,,,,,
Ralph L Wolf,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,
Gayle P Roberts,Family Court Judge NYC,ACT SUP CT JUS,2016-03-09,2026-03-08,Bronx,Bronx County Supreme Court,1997,,,,,,
Ashley B Black,Family Court Judge NYC,,2021-01-01,2030-06-01,Bronx,Bronx County Family Court,2020,,,,,,
Brett M Knowles,City Court Judge,,2024-07-25,2030-07-24,Albany,Cohoes City Court,2024,,,,,,
Diana Hedayati,District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 1st Dist",2026,,,,,,
Michael J Genute,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Chenango,Norwich City Court,2018,,,,,,
Robert A Markoff,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2023,,,,,,
Jacqueline Ricciani,Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Sullivan,Sullivan County Family Court,2023,,,,,,
Nancy F Carrington,Criminal Court Judge NYC,,2026-01-01,2027-12-31,Queens,Queens Supreme Criminal Term,2024,,,,,,
Biju J Koshy,Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-23,2028-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2021,Richmond,Criminal,,,,
Linda M Capitti,Family Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Supreme Court,2019,,,,,,
Jaclene A Agazarian,President Board of Judges,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2022,,,,,,
Cheryl Roberts,City Court Judge,,2022-08-17,2028-08-16,Columbia,Hudson City Court,2022,,,,,,
Eric B Schumacher,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2029-12-31,New York,New York County Supreme Court,2021,,,,,,
Lana Schlesinger,Criminal Court Judge NYC,,2024-12-17,2028-12-31,Queens,Queens Supreme Criminal Term,2024,,,,,,
Dawn M Orsatti,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,
Ian M Jones,County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Allegany,Allegany County Supr Ct(M-B),2026,,,,,,
Scott A Miller,County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Tompkins,Tompkins County Supr Ct(M-B),2013,,,,,,
Peter F Finnerty,City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Chemung,Elmira City Court,2021,6,City,,,,
Eliezer Rodriguez,Civil Court Judge NYC,,2025-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,
Melissa L Cianfrini,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Genesee,Genesee County Supreme Ct(M-B),2022,,,,,,
