statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Court of Claims Judge,SUP CT JUSTICE,2017-07-06,2023-07-31,Suffolk,Court of Claims,2017,,,,,,,Carmen Victoria StGeorge
Court of Claims Judge,,2025-06-10,2027-08-26,Queens,Queens Supreme,2025,,,,,,,Ilene Fern
Supreme Court Justice,DEP CHF ADMNV JGE CTS,2019-01-01,2028-12-31,Onondaga,5th Judicial District,2005,,,,,,DCAJ/OUTSIDENYC,James P Murphy
Supreme Court Justice,,2020-01-01,2033-12-31,Montgomery,4th Judicial District,2020,,,,,,,Rebecca A Slezak
Supreme Court Justice,"SUP CT JUS, DST 10 PJAT",2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2008,,,,,,ATM/02/0910/01,Timothy S Driscoll
Supreme Court Justice,,2026-01-01,2031-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,,James W Malone
Supreme Court Justice,ADMNV JGE,2026-01-01,2039-12-31,Fulton,4th Judicial District,2026,,,,,,AJ/04/SUP,Krishna K Singh
Supreme Court Justice,,2013-01-01,2026-12-31,Franklin,4th Judicial District,2013,,,,,,,John T Ellis
Supreme Court Justice,,2015-01-01,2028-12-31,Queens,Queens Supreme,2015,,,,,,,Anna Culley
Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,,Naita A Semaj
,,,,Kings,Kings Supreme,2012,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Rachel Amy Adams
Court of Claims Judge,,2019-05-07,2026-12-31,Queens,Queens Supreme,2017,,,,,,,Joseph J Risi
Supreme Court Justice,,2023-01-01,2026-12-31,Richmond,Kings Supreme,2023,,,,,,,Aaron D Maslow
Court of Claims Judge,"PRES JGE, CT CLAIMS",2022-01-23,2026-12-31,Albany,Court of Claims,2000,,,,,,PJ/COC,Richard E Sise
Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2022-12-31,Richmond,Richmond Supreme,2020,,,,,,,Charles M Troia
Supreme Court Justice,"ASC JUS, AP DIV",2019-01-01,2029-12-31,Erie,Appellate Division 4th Department,2004,,,,,,ADP/04/03,John M Curran
Supreme Court Justice,,2020-01-01,2030-12-31,Saratoga,4th Judicial District,2020,,,,,,,Dianne N Freestone
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Queens,Appellate Division 2nd Department,2019,,,,,,ADT/02/07,Laurence L Love
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2019,,,,,,ADT/02/02,Helen Voutsinas
Supreme Court Justice,,2017-01-01,2030-12-31,New York,NYC Supreme Civil,2017,,,,,,,James E d'Auguste
Supreme Court Justice,,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,,Mojgan Cohanim Lancman
Court of Claims Judge,SUP CT JUSTICE,2018-07-02,2026-06-30,New York,NYC Supreme Civil,2018,,,,,,,Joel M Cohen
Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Kings,Kings Supreme,2016,,,,,,AJ/KG/SUP/CV,Genine D Edwards
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,SUFF/SJ/MATRIMONIAL,Cheryl A Joseph
Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Albany,3rd Judicial District,2016,,,,,,AJ/03/SUP,Christina L Ryba
Supreme Court Justice,"ASC JUS, AP DIV",2017-01-01,2028-12-31,New York,Appellate Division 1st Department,2003,,,,,,ADP/01/03,Troy K Webber
Supreme Court Justice,,2025-01-01,2031-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,,Paul M Hensley
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2031-12-31,Bronx,Bronx Supreme Civil,2025,,,,,,,Mary L NicolasBrewster
Court of Claims Judge,,2025-06-10,2034-05-14,,NYC Supreme Civil,2025,,,,,,,Denis M Reo
Court of Claims Judge,,2025-06-10,2028-12-31,Westchester,Court of Claims,2025,,,,,,,Natacha CarbajalEvangelista
Court of Claims Judge,SUP CT JUSTICE,2014-08-01,2023-07-31,Albany,Court of Claims,2006,,,,,,,Richard M Platkin
,,,,Erie,8th Judicial District,2022,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Edward Pace
Supreme Court Justice,,2020-01-01,2033-12-31,Chemung,6th Judicial District,2020,,,,,,6/SJ/SUPREME,Christopher P Baker
Supreme Court Justice,,2019-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2019,,,,,,,George M Nolan
Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,,Andrew S Borrok
Supreme Court Justice,"SUP CT JUS, DST 2 AT",2024-01-01,2037-12-31,Kings,Kings Supreme,2022,,,,,,ATM/02/0211/02,Joanne D Quinones
Supreme Court Justice,,2023-01-01,2036-12-31,Oneida,5th Judicial District,2023,,,,,,5/SJ/FORECLOSURES,Julie G Denton
Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,,Stacy D FleisherBennett
Supreme Court Justice,,2023-01-01,2036-12-31,Jefferson,5th Judicial District,2023,,,,,,,William F Ramseier
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2013-01-01,2026-12-31,New York,Appellate Division 1st Department,2013,,,,,,ADT/01/04,Shlomo S Hagler
Supreme Court Justice,,2023-01-01,2033-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,,Myrna M Socorro
,,2020-01-01,2023-12-31,Oneida,5th Judicial District,2006,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Bernadette T Clark
,,2020-01-01,2023-12-31,Schenectady,4th Judicial District,2020,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Michael R Cuevas
Supreme Court Justice,,2025-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2025,,,,,,,Alfred C Graf
Associate Judge COA,,2013-02-11,2027-02-10,New York,Court of Appeals,2013,,,,,,,Jenny Rivera
Supreme Court Justice,"SUP CT JUS, DST 12 AT",2022-01-01,2033-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,ATM/01/0112/03,Paul L Alpert
Supreme Court Justice,"SUP CT JUS, DST 9 AT",2016-01-01,2029-12-31,Westchester,9th Judicial District,2016,,,,,,ATM/02/0910/05,Gretchen Walsh
Supreme Court Justice,,2025-01-01,2037-12-31,Nassau,10th Judicial District - Nassau,2025,,,,,,,Gregg Roth
Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2030-12-31,Westchester,Appellate Division 2nd Department,2010,,,,,,ADP/02/02,Colleen D Duffy
Supreme Court Justice,,2023-01-01,2033-12-31,Queens,Queens Supreme,2023,,,,,,,Nestor Diaz
Supreme Court Justice,,2017-01-01,2030-12-31,Queens,Queens Supreme,2017,,,,,,,William A Viscovich
Supreme Court Justice,,2022-01-01,2035-12-31,Ulster,3rd Judicial District,2022,,,,,,,Kevin R Bryant
Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,,Derefim B Neckles
Court of Claims Judge,SUP CT JUSTICE,2023-06-09,2026-06-30,Bronx,Bronx Supreme Criminal,2023,,,,,,,Raymond P Fernandez
,,,,Queens,Queens Supreme,2012,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,,Ira H Margulis
,,,,Bronx,Bronx Supreme Civil,2019,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,,Benjamin R Barbato
Supreme Court Justice,,2023-01-01,2031-12-31,Kings,Kings Supreme,2023,,,,,,,Robin K Sheares
Supreme Court Justice,,2024-01-01,2031-12-31,Rockland,9th Judicial District,2024,,,,,,,Rolf M Thorsen
Court of Claims Judge,SUP CT JUSTICE,2018-08-27,2027-08-26,Nassau,10th Judicial District - Nassau,2015,,,,,,,Robert A Schwartz
Court of Claims Judge,,2024-06-06,2031-12-31,Kings,Kings Supreme,2024,,,,,,,Carolyn M Genovesi
Supreme Court Justice,,2023-01-01,2036-12-31,Oneida,5th Judicial District,2023,,,,,,,Mark R Rose
,"ASC JUS, AP DIV, TPCT",,,Queens,Appellate Division 2nd Department,2005,,,"ASC JUS, AP DIV, TPCT",2025-01-01,2030-12-31,ADT/02/10,Valerie B Nelson
,,2024-02-14,2024-12-31,Erie,8th Judicial District,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,John J DelMonte
Supreme Court Justice,,2020-01-01,2027-12-31,Kings,Kings Supreme,2020,,,,,,,Steven Z Mostofsky
Supreme Court Justice,,2023-01-01,2032-12-31,Kings,Kings Supreme,2023,,,,,,,Lorna J McAllister
Court of Claims Judge,,2014-01-01,2022-12-31,Albany,Court of Claims,2006,,,,,,,Christopher J McCarthy
Supreme Court Justice,,2023-01-01,2036-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,,Connie Morales
Court of Claims Judge,SUP CT JUSTICE,2023-07-10,2026-06-30,Nassau,10th Judicial District - Nassau,2023,,,,,,,Ellen B Tobin
Court of Claims Judge,SUP CT JUSTICE,2011-04-11,2020-03-13,Albany,Court of Claims,2011,,,,,,,David A Weinstein
Supreme Court Justice,,2025-01-01,2038-12-31,Niagara,8th Judicial District,2025,,,,,,,Michael J Norris
,,,,Richmond,Richmond Supreme,2014,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,,Desmond A Green
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Queens,Appellate Division 2nd Department,2020,,,,,,ADT/02/16,DonnaMarie E Golia
Supreme Court Justice,CHF ADMNV JGE CTS,2017-01-01,2030-12-31,Queens,Queens Supreme,2012,,,,,,,Joseph A Zayas
Supreme Court Justice,,2026-01-01,2033-12-31,Kings,Kings Supreme,2026,,,,,,,Jacqueline D Williams
Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,,Christopher J Robles
Supreme Court Justice,,2023-01-01,2036-12-31,Erie,8th Judicial District,2023,,,,,,8/SJ/TOWN&VILLAGE,Kelly A Vacco
Supreme Court Justice,,2022-01-01,2035-12-31,Tompkins,6th Judicial District,2022,,,,,,,Elizabeth E Aherne
Supreme Court Justice,,2024-01-01,2031-12-31,Oneida,5th Judicial District,2024,,,,,,,Peter M Rayhill
Supreme Court Justice,,2022-01-01,2034-12-31,Queens,Queens Supreme,2008,,,,,,,Denis J Butler
,,2023-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2023,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Frank A Tinari
Supreme Court Justice,,2024-01-01,2028-12-31,Queens,Queens Supreme,2024,,,,,,,Peter J Kelly
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,Rensselaer,3rd Judicial District,2017,,,,,,ADT/03/04,Andrew G Ceresia
Supreme Court Justice,,2026-01-01,2037-12-31,Westchester,9th Judicial District,2026,,,,,,,Desmond C Lyons
Supreme Court Justice,,2026-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2026,,,,,,,Margaret C Reilly
Court of Claims Judge,SUP CT JUSTICE,2014-01-01,2022-12-31,Suffolk,10th Judicial District - Suffolk,2008,,,,,,,Fernando M Camacho
Supreme Court Justice,,2021-01-01,2034-12-31,Richmond,Richmond Supreme,2021,,,,,,,Lisa A Grey
Supreme Court Justice,ADMNV JGE,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,AJ/QN/SUP/CR,Michelle A Johnson
Supreme Court Justice,,2026-01-01,2039-12-31,Richmond,Richmond Supreme,2026,,,,,,,Matthew P Blum
Supreme Court Justice,,2021-01-01,2034-12-31,Queens,Queens Supreme,2021,,,,,,,Tracy A CatapanoFox
Supreme Court Justice,,2026-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,,Carl J Copertino
Associate Judge COA,,2022-01-12,2029-12-31,Erie,Court of Appeals,2010,,,,,,,Shirley Troutman
Supreme Court Justice,"ASC JUS, AP DIV",2025-01-01,2032-12-31,New York,Appellate Division 1st Department,2011,,,,,,ADP/01/04,Cynthia S Kern
Supreme Court Justice,,2025-01-01,2038-12-31,Queens,Queens Supreme,2025,,,,,,,Alan J Schiff
Supreme Court Justice,,2022-01-01,2035-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,,Danielle M Peterson
Supreme Court Justice,,2026-01-01,2039-12-31,Westchester,9th Judicial District,2026,,,,,,,Verris B Shako
,,,,Bronx,Bronx Supreme Criminal,2016,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,,Raymond L Bruce
Supreme Court Justice,,2018-01-01,2031-12-31,Erie,8th Judicial District,2018,,,,,,,Lynn M Keane
Supreme Court Justice,,2021-01-01,2030-12-31,Nassau,10th Judicial District - Nassau,2007,,,,,,,Randy Sue Marber
Supreme Court Justice,,2024-01-01,2032-12-31,Schenectady,4th Judicial District,2024,,,,,,,Paul E Davenport
Court of Claims Judge,SUP CT JUSTICE,2017-03-18,2026-03-17,Bronx,Court of Claims,2015,,,,,,,Jeanette RodriguezMorick
Supreme Court Justice,,2022-01-01,2035-12-31,Onondaga,5th Judicial District,2022,,,,,,5/SJ/SUPREME,Danielle M Fogel
Supreme Court Justice,,2023-01-01,2036-12-31,Orange,9th Judicial District,2023,,,,,,,Sherri L Eisenpress
,"ASC JUS, AP DIV, TPCT",,,Bronx,Bronx Supreme Civil,2016,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,ADT/01/03,Lizbeth Gonzalez
Supreme Court Justice,,2022-01-01,2029-12-31,Queens,Queens Supreme,2008,,,,,,,Kenneth C Holder
Supreme Court Justice,,2021-01-01,2034-12-31,Kings,Richmond Supreme,2021,,,,,,,Lizette Colon
Supreme Court Justice,ADMNV JGE,2023-01-01,2036-12-31,Westchester,9th Judicial District,2023,,,,,,AJ/09/SUP,Anne E Minihan
Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,,Joy F Campanelli
Court of Claims Judge,SUP CT JUSTICE,2020-07-23,2026-06-30,Rensselaer,3rd Judicial District,2020,,,,,,,Adam W Silverman
Supreme Court Justice,,2019-01-01,2026-12-31,Erie,8th Judicial District,2005,,,,,,,Paula L Feroleto
Supreme Court Justice,,2020-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2020,,,,,,,David Gugerty
Supreme Court Justice,,2021-01-01,2026-12-31,Richmond,Richmond Supreme,2021,,,,,,,Mario F Mattei
Supreme Court Justice,,2021-01-01,2034-12-31,Orange,9th Judicial District,2021,,,,,,9/SJ/CITY,E Loren Williams
Supreme Court Justice,,2020-01-01,2033-12-31,Queens,Queens Supreme,2020,,,,,,,Wyatt N Gibbons
Supreme Court Justice,,2024-01-01,2037-12-31,Onondaga,5th Judicial District,2024,,,,,,,Jean Marie Westlake
Court of Claims Judge,,2024-06-06,2026-06-30,Nassau,10th Judicial District - Nassau,2024,,,,,,,Anna M Grimaldi
Supreme Court Justice,"SUP CT JUS, DST 2 PJAT",2015-01-01,2027-12-31,Kings,Kings Supreme,2015,,,,,,ATM/02/0211/01,Wavny Toussaint
Supreme Court Justice,,2023-01-01,2036-12-31,Saratoga,4th Judicial District,2023,,,,,,,Richard A Kupferman
Supreme Court Justice,,2022-01-01,2030-12-31,Madison,6th Judicial District,2022,,,,,,,Patrick J O'Sullivan
Supreme Court Justice,,2026-01-01,2029-12-31,New York,NYC Supreme Criminal,2026,,,,,,,James G Clynes
Supreme Court Justice,,2021-01-01,2033-12-31,Monroe,7th Judicial District,2007,,,,,,7/SJ/CIVIL MATTERS,Daniel J Doyle
Supreme Court Justice,,2023-01-01,2036-12-31,Albany,3rd Judicial District,2023,,,,,,,Thomas Marcelle
Supreme Court Justice,"SUP CT JUS, DST 1 AT",2021-01-01,2034-12-31,New York,NYC Supreme Civil,2021,,,,,,ATM/01/0112/01,TaTanisha D James
Supreme Court Justice,,2022-01-01,2035-12-31,Richmond,Richmond Supreme,2022,,,,,,,Ronald CastorinaJr
Court of Claims Judge,SUP CT JUSTICE,2015-06-17,2022-12-31,Suffolk,10th Judicial District - Suffolk,2015,,,,,,,Glenn A Murphy
Supreme Court Justice,,2015-01-01,2028-12-31,Queens,Queens Supreme,2015,,,,,,,Carmen R Velasquez
Court of Claims Judge,,2024-07-11,2030-12-31,Erie,Court of Claims,2022,,,,,,,Stephanie Saunders
Supreme Court Justice,,2020-01-01,2033-12-31,Nassau,10th Judicial District - Nassau,2020,,,,,,,Thomas A Rademaker
Supreme Court Justice,,2021-01-01,2029-12-31,New York,NYC Supreme Civil,2021,,,,,,,Carol R Sharpe
Supreme Court Justice,,2016-01-01,2029-12-31,Niagara,8th Judicial District,2016,,,,,,,Frank A SeditaIII
Court of Claims Judge,,2024-07-13,2031-12-31,New York,NYC Supreme Civil,2024,,,,,,,Jeffrey H Pearlman
Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Civil,2023,,,,,,,Sabrina B Kraus
Supreme Court Justice,,2026-01-01,2039-12-31,Monroe,7th Judicial District,2026,,,,,,,David Siguenza
Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Westchester,Appellate Division 2nd Department,2000,,,,,,ADP/02/05,Mark C Dillon
,,2024-06-06,2024-12-31,Kings,Kings Supreme,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Rupert V Barry
Supreme Court Justice,,2023-01-01,2036-12-31,Monroe,7th Judicial District,2023,,,,,,,James A Vazzana
Supreme Court Justice,,2025-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,,John CV Katsanos
Supreme Court Justice,,2021-01-01,2034-12-31,Monroe,7th Judicial District,2021,,,,,,,Sam L Valleriani
Supreme Court Justice,,2026-01-01,2028-12-31,Suffolk,10th Judicial District - Suffolk,2004,,,,,,,Joseph C Pastoressa
,"ASC JUS, AP DIV, TPCT",2011-01-01,2023-12-31,Rockland,Appellate Division 2nd Department,2011,,,"ASC JUS, AP DIV, TPCT",2024-01-01,2029-12-31,ADT/02/11,Linda J Christopher
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2026-12-31,Albany,Appellate Division 3rd Department,2017,,,,,,ADT/03/05,Lawrence Mackey
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2016-01-01,2029-12-31,New York,Appellate Division 1st Department,2016,,,,,,ADT/01/01,Tanya R Kennedy
Supreme Court Justice,,2022-01-01,2034-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,,Eileen C DalySapraicone
Supreme Court Justice,,2021-01-01,2034-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,,Andrew J Cohen
Supreme Court Justice,,2025-01-01,2038-12-31,Monroe,7th Judicial District,2025,,,,,,,Erin S Skinner
Supreme Court Justice,,2018-01-01,2031-12-31,Queens,Queens Supreme,2018,,,,,,,Jodi Orlow
Supreme Court Justice,,2025-01-01,2029-12-31,Orange,9th Judicial District,2025,,,,,,,Mary Anne ScattareticoNaber
Court of Claims Judge,,2024-07-03,2027-08-23,Albany,Court of Claims,2024,,,,,,,Francisco Calderon
Court of Claims Judge,SUP CT JUSTICE,2019-04-29,2028-04-28,New York,NYC Supreme Civil,2018,,,,,,,Francis A KahnIII
Supreme Court Justice,,2018-01-01,2031-12-31,Ulster,3rd Judicial District,2018,,,,,,3/SJ/SUP,Julian D Schreibman
Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,,Keisha M Alleyne
,ADMNV JGE,,,Kings,Kings Supreme,1996,,,"ADMNV JUDGE, CERT",2023-01-01,2028-12-31,AJ/KG/SUP/CR,Matthew J D'Emic
Supreme Court Justice,"PRES JUS, AP DIV",2021-01-01,2032-12-31,Albany,Appellate Division 3rd Department,2007,,,,,,ADP/03/01,Elizabeth A Garry
Supreme Court Justice,,2026-01-01,2039-12-31,Erie,8th Judicial District,2026,,,,,,,Jorge S Derosas
Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Suffolk,10th Judicial District - Suffolk,2023,,,,,,,Aletha V Fields
Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2034-05-14,Ontario,7th Judicial District,2025,,,,,,,Gregory J McCaffrey
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Appellate Division 1st Department,2016,,,,,,ADT/01/07,Julio RodriguezIII
Supreme Court Justice,,2014-01-01,2027-12-31,Kings,Kings Supreme,2014,,,,,,,Kenneth P Sherman
Supreme Court Justice,DEP CHFADMNVJGECTSNYC,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,DCAJ/NYC,Adam Silvera
Supreme Court Justice,,2024-01-01,2037-12-31,Monroe,7th Judicial District,2024,,,,,,,Joseph D Waldorf
Court of Claims Judge,,2024-11-01,2031-12-31,Erie,8th Judicial District,2024,,,,,,,Peter Weinmann
Supreme Court Justice,,2024-01-01,2036-12-31,New York,NYC Supreme Civil,2024,,,,,,,Phaedra F Perry
Supreme Court Justice,,2023-01-01,2036-12-31,Westchester,9th Judicial District,2023,,,,,,,David J Squirrell
Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga,5th Judicial District,2023,,,,,,,Kevin P Kuehner
Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,,Heela D Capell
Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Criminal,2023,,,,,,,Brendan T Lantry
Court of Claims Judge,,2025-06-10,2032-07-31,Bronx,Bronx Supreme Criminal,2025,,,,,,,Darlene Goldberg
Supreme Court Justice,,2022-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,,Conrad D Singer
Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,,Gina LevyAbadi
Supreme Court Justice,,2025-01-01,2033-12-31,Erie,8th Judicial District,2011,,,,,,,Deborah A Chimes
Supreme Court Justice,,2021-01-01,2034-12-31,Westchester,9th Judicial District,2021,,,,,,,Alexandra D Murphy
,,,,Queens,Queens Supreme,2017,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,,Joseph J Esposito
Supreme Court Justice,,2025-01-01,2026-12-31,Queens,Queens Supreme,2025,,,,,,,Delsia G Marshall
Supreme Court Justice,,2021-01-01,2028-12-31,Monroe,7th Judicial District,2021,,,,,,,Vincent M Dinolfo
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2023-01-01,2036-12-31,Erie,Appellate Division 4th Department,2022,,,,,,ADT/04/08,Craig D Hannah
Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,,Lisa Lewis
Supreme Court Justice,,2024-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2024,,,,,,,John J Andrews
Supreme Court Justice,,2022-01-01,2026-12-31,Niagara,8th Judicial District,2006,,,,,,,Frank Caruso
Supreme Court Justice,,2023-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2023,,,,,,,C Stephen Hackeling
Supreme Court Justice,,2019-01-01,2032-12-31,Richmond,Richmond Supreme,2019,,,,,,,Marina C Mundy
Supreme Court Justice,,2022-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,,Elizabeth M FoxMcDonough
Court of Claims Judge,,2024-12-30,2027-01-01,Albany,Court of Claims,2024,,,,,,,Rose N Fontaine
Supreme Court Justice,,2026-01-01,2036-12-31,Suffolk,10th Judicial District - Suffolk,2026,,,,,,,Steven A Pilewski
Supreme Court Justice,,2018-01-01,2031-12-31,Dutchess,9th Judicial District,2018,,,,,,,Christi J Acker
,SUP CT JUSTICE,,,Richmond,10th Judicial District - Nassau,2010,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,Wayne M Ozzi
Supreme Court Justice,,2024-01-01,2028-12-31,Monroe,7th Judicial District,2010,,,,,,,Alexander R Renzi
Supreme Court Justice,"ASC JUS, AP DIV",2014-01-01,2027-12-31,Erie,Appellate Division 4th Department,2014,,,,,,ADP/04/04,Mark A Montour
Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,,Lori S Sattler
,,,,Bronx,Bronx Supreme Criminal,2000,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Margaret L Clancy
Supreme Court Justice,"SUP CT JUS, DST 10 AT",2021-01-01,2028-12-31,Nassau,10th Judicial District - Nassau,2021,,,,,,ATM/02/0910/03,Joseph R Conway
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,Oswego,Appellate Division 4th Department,2019,,,,,,ADT/04/07,Scott J DelConte
Supreme Court Justice,"SUP CT JUS, DST 11 AT",2017-01-01,2030-12-31,Queens,Queens Supreme,2017,,,,,,ATM/02/0211/04,Cheree A Buggs
Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,,Saul Stein
,,2024-01-01,2024-12-31,Nassau,10th Judicial District - Nassau,2024,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Gary M Carlton
,,2019-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2019,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Deborah Poulos
Supreme Court Justice,,2026-01-01,2038-12-31,,Kings Supreme,2026,,,,,,,Brian L Gotlieb
,,2013-01-01,2024-12-31,Suffolk,10th Judicial District - Suffolk,2013,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,John J Leo
Supreme Court Justice,,2017-01-01,2030-12-31,Oswego,5th Judicial District,2017,,,,,,,Gregory R Gilbert
Supreme Court Justice,,2023-01-01,2036-12-31,Essex,4th Judicial District,2023,,,,,,,Allison M McGahay
Supreme Court Justice,,2025-01-01,2038-12-31,Queens,Queens Supreme,2025,,,,,,,Claudia Lanzetta
Supreme Court Justice,,2016-01-01,2029-12-31,Erie,8th Judicial District,2016,,,,,,,Emilio L Colaiacovo
Supreme Court Justice,"SUP CT JUS, DST 2 AT",2019-01-01,2032-12-31,Kings,Kings Supreme,2019,,,,,,ATM/02/0211/03,Lisa S Ottley
Supreme Court Justice,,2020-01-01,2033-12-31,Onondaga,5th Judicial District,2020,,,,,,,Robert E AntonacciII
Court of Claims Judge,,2024-10-01,2032-07-31,Bronx,Bronx Supreme Civil,2024,,,,,,,Veronica Guerrero
Court of Claims Judge,SUP CT JUSTICE,2022-06-02,2026-06-30,Nassau,10th Judicial District - Nassau,2022,,,,,,,Sarika Kapoor
,,2025-01-01,2025-12-31,Kings,Kings Supreme,2011,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Jeffrey S Sunshine
Supreme Court Justice,,2022-01-01,2035-12-31,Monroe,7th Judicial District,2022,,,,,,,James E WalshJr
Supreme Court Justice,,2022-01-01,2035-12-31,Westchester,9th Judicial District,2022,,,,,,,Christie L D'Alessio
Supreme Court Justice,,2023-01-01,2036-12-31,Rockland,9th Judicial District,2023,,,,,,,Amy Puerto
Court of Claims Judge,SUP CT JUSTICE,2021-06-08,2026-06-30,Bronx,Bronx Supreme Civil,2021,,,,,,,Alicia M Gerez
Supreme Court Justice,,2017-01-01,2030-12-31,Monroe,7th Judicial District,2017,,,,,,,Charles A SchianoJr
Supreme Court Justice,,2026-01-01,2039-12-31,Clinton,4th Judicial District,2026,,,,,,,Christopher J Obstarczyk
Supreme Court Justice,,2023-01-01,2036-12-31,Westchester,9th Judicial District,2023,,,,,,,Keri A Fiore
Supreme Court Justice,,2024-01-01,2037-12-31,Broome,6th Judicial District,2024,,,,,,,Cheryl Insinga
