statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-30,Nassau,"Nassau District Ct, 1st Dist",2007,,,,,,,Andrea C Phoenix
District Court Judge,,2024-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2023,,,,,,,Susan A Berland
City Court Judge,,2026-01-01,2027-12-31,Westchester,Mount Vernon City Court,2022,,,,,,,Peter Saint George Davis
City Court Judge,,2025-01-01,2034-12-31,Nassau,Long Beach City Court,2015,,,,,,,Corey E Klein
City Court Judge,,2026-01-01,2031-12-31,Saratoga,Mechanicville City Court,2020,,,,,,,Jeffrey N Bagnoli
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,,Danielle L Hartman
Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2028-12-31,New York,New York County Criminal Court,2008,,,,,,,Felicia A Mennin
Surrogate Court Judge,,2026-01-01,2033-12-31,Nassau,Nassau County Surrogate's Ct,2003,,,,,,,David P Sullivan
Civil Court Judge NYC,,2026-01-01,2034-12-31,New York,New York County Criminal Court,2021,,,,,,,Juliet P Howard
County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Rensselaer,Rensselaer County Court,2018,,,,,,,Jennifer G Sober
County Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Sullivan,Sullivan County Court (M-B),2020,,,,,,,James R Farrell
Family Court Judge NYC,,2025-01-01,2030-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Jacqueline B Deane
Surr and County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Clinton,Clinton County Court (M-B),2017,,,,,,,William A Favreau
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Greene,Greene County Court (M-B),2024,,,,,,,David M Costanzo
Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2029-12-31,New York,New York County Criminal Court,2015,,,,,,,Althea EM Drysdale
County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Suffolk,Suffolk County Court,2011,,,,,,,David A Morris
City Court Judge,,2021-01-01,2030-12-31,Onondaga,Syracuse City Court,2021,,,,,,,K Felicia PittsDavis
County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Nassau,Nassau County Court,2012,,,,,,,Jeffrey A Goodstein
City Court Judge,,2025-01-01,2030-12-31,Oswego,Fulton City Court,2024,,,,,,,Graham B Seiter
Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,,Allison E Burke
City Court Judge,,2025-01-01,2029-12-31,Columbia,Hudson City Court,2012,,,,,,,John G ConnorJr
Family Court Judge NYC,,2021-05-01,2027-12-31,Kings,Kings Supreme Criminal,2008,,,,,,,Alan M Beckoff
County Judge,ACT SUP CT JUS,2026-01-01,2028-12-31,Nassau,Nassau County Court,2016,,,,,,,Howard E Sturim
Family Court Judge,ACT CNTY JGE,2026-01-01,2030-12-31,Delaware,Delaware County Family Ct(M-B),2016,,,,,,,Gary A Rosa
City Court Judge,,2023-01-01,2028-12-31,Albany,Watervliet City Court,1999,,,,,,,Thomas E Lamb
Family Court Judge NYC,ADM JGE ACT SUP CT JS,2021-05-19,2031-05-18,New York,New York County Family Court,2010,,,,,,,AnneMarie Jolly
Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2023,,,,,,,Marjorie R Steinberg
City Court Judge,,2025-01-01,2030-12-31,Saratoga,Mechanicville City Court,2018,,,,,,,Constantine F DeStefano
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx,NYC Criminal Ct - Bronx County,2021,,,,,,,Seth A Steed
County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Wayne,Wayne County Court (M-B),2026,,,,,,,Jeannie L D'Alessandro
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Mark M Kagan
City Court Judge,,2024-01-01,2033-12-31,Westchester,Yonkers City Court,2023,,,,,,,Karen T Beltran
